Unnamed: 0,celex
1082,31979R2342
1083,31979R2383
1084,31979R2384
1085,31979R2430
1086,31979R2436
1087,31979R2533
1088,31979R2534
1089,31979R2535
1090,31979R2536
1091,31979R2537
1092,31979R2557
1093,31979R2558
1094,31979R2559
1095,31979R2560
1096,31979R2561
1097,31979R2562
1098,31979R2563
1099,31979R2579
1100,31979R2592
1101,31979R2612
1102,31979R2615
1103,31979R2622
1104,31979R2632
1105,31979R2633
1106,31979R2634
1107,31979R2635
1108,31979R2636
1109,31979R2637
1110,31979R2638
1111,31979R2639
1112,31979R2640
1113,31979R2641
1114,31979R2642
1115,31979R2643
1116,31979R2644
1117,31979R2645
1118,31979R2664
1119,31979R2727
1120,31979R2728
1121,31979R2754
1122,31979R2790
1123,31979R2791
1124,31979R2792
1125,31979R2794
1126,31979R2795
1127,31979R2796
1128,31979R2797
1129,31979R2798
1130,31979R2799
1131,31979R2800
1132,31979R2801
1133,31979R2841
1134,31979R2878
1135,31979R2879
1136,31979R2897
1137,31979R2898
1138,31979R2914
1139,31979R2916
1140,31979R2917
1141,31979R2918
1142,31979R2919
1143,31979R2920
1144,31979R2921
1145,31979R2922
1146,31979R2923
1147,31979R2924
1148,31979R2925
1149,31979R2926
1150,31979R2927
1151,31979R2928
1152,31979R2929
1153,31979R2931
1154,31979R2956
1155,31979R2957
1156,31979R2958
1157,31979R2961
1158,31979R2962
1159,31979R2963
1160,31979R2964
1161,31979R2999
1162,31979R3000
1163,31979R3016
1164,31979R3017
1165,31979R3019
1166,31979R3020
1167,31979R3021
1168,31979R3022
1169,31979R3023
1170,31979R3024
1171,31979R3025
1172,31979R3026
1173,31979R3027
1174,31979R3028
1175,31979R3033
1176,31979R3061
1177,31979R3064
1178,31979R3065
1179,31979R3066
1180,31979R3071
1181,31979R3072
1182,31979R3073
1183,31979R3074
1184,31980L0049
1185,31980L0051
1186,31980L0052
1187,31980L0068
1188,31980L0154
1189,31980L0155
1190,31980L0181
1191,31980L0213
1192,31980L0214
1193,31980L0215
1194,31980L0216
1195,31980L0217
1196,31980L0218
1197,31980L0219
1198,31980L0232
1199,31980L0368
1200,31980L0369
1201,31980L0370
1202,31980L0390
1203,31980L0392
1204,31980L0502
1205,31980L0597
1206,31980L0607
1207,31980L0608
1208,31980L0665
1209,31980L0666
1210,31980L0720
1211,31980L0737
1212,31980L0767
1213,31980L0777
1214,31980L0778
1215,31980L0779
1216,31980L0780
1217,31980L0781
1218,31980L0876
1219,31980L0987
1220,31980L1095
1221,31980L1098
1222,31980L1099
1223,31980L1100
1224,31980L1102
1225,31980L1107
1226,31980L1141
1227,31980L1263
1228,31980L1266
1229,31980L1267
1230,31980L1268
1231,31980L1269
1232,31980L1275
1233,31980R0113
1234,31980R0114
1235,31980R0120
1236,31980R0121
1237,31980R0176
1238,31980R0235
1239,31980R0279
1240,31980R0291
1241,31980R0304
1242,31980R0394
1243,31980R0434
1244,31980R0435
1245,31980R0436
1246,31980R0437
1247,31980R0438
1248,31980R0439
1249,31980R0453
1250,31980R0454
1251,31980R0456
1252,31980R0457
1253,31980R0458
1254,31980R0459
1255,31980R0541
1256,31980R0551
1257,31980R0552
1258,31980R0579
1259,31980R0610
1260,31980R0611
1261,31980R0612
1262,31980R0649
1263,31980R0653
1264,31980R0679
1265,31980R0680
1266,31980R0715
1267,31980R0716
1268,31980R0717
1269,31980R0718
1270,31980R0719
1271,31980R0720
1272,31980R0743
1273,31980R0744
1274,31980R0745
1275,31980R0746
1276,31980R0747
1277,31980R0748
1278,31980R0749
1279,31980R0750
1280,31980R0751
1281,31980R0752
1282,31980R0753
1283,31980R0754
1284,31980R0806
1285,31980R0807
1286,31980R0810
1287,31980R0812
1288,31980R0847
1289,31980R1010
1290,31980R1011
1291,31980R1032
1292,31980R1033
1293,31980R1135
1294,31980R1136
1295,31980R1149
1296,31980R1150
1297,31980R1192
1298,31980R1202
1299,31980R1224
1300,31980R1225
1301,31980R1272
1302,31980R1273
1303,31980R1310
1304,31980R1312
1305,31980R1315
1306,31980R1357
1307,31980R1358
1308,31980R1359
1309,31980R1362
1310,31980R1364
1311,31980R1367
1312,31980R1368
1313,31980R1369
1314,31980R1370
1315,31980R1372
1316,31980R1402
1317,31980R1440
1318,31980R1459
1319,31980R1469
1320,31980R1470
1321,31980R1481
1322,31980R1523
1323,31980R1526
1324,31980R1527
1325,31980R1569
1326,31980R1570
1327,31980R1571
1328,31980R1572
1329,31980R1584
1330,31980R1585
1331,31980R1586
1332,31980R1589
1333,31980R1591
1334,31980R1592
1335,31980R1593
1336,31980R1611
1337,31980R1612
1338,31980R1613
1339,31980R1637
1340,31980R1639
1341,31980R1640
1342,31980R1661
1343,31980R1662
1344,31980R1664
1345,31980R1665
1346,31980R1666
1347,31980R1667
1348,31980R1706
1349,31980R1707
1350,31980R1708
1351,31980R1709
1352,31980R1710
1353,31980R1711
1354,31980R1712
1355,31980R1713
1356,31980R1714
1357,31980R1715
1358,31980R1716
1359,31980R1717
1360,31980R1718
1361,31980R1719
1362,31980R1720
1363,31980R1749
1364,31980R1750
1365,31980R1751
1366,31980R1752
1367,31980R1754
1368,31980R1756
1369,31980R1778
1370,31980R1779
1371,31980R1820
1372,31980R1821
1373,31980R1837
1374,31980R1870
1375,31980R1871
1376,31980R1872
1377,31980R1873
1378,31980R1899
1379,31980R1901
1380,31980R1917
1381,31980R1954
1382,31980R1955
1383,31980R1956
1384,31980R1957
1385,31980R1988
1386,31980R1990
1387,31980R1992
1388,31980R1993
1389,31980R2007
1390,31980R2008
1391,31980R2009
1392,31980R2022
1393,31980R2130
1394,31980R2143
1395,31980R2144
1396,31980R2165
1397,31980R2166
